caseId,createdAt,completedAt,cycleTimeHours,revisionCount,rejectionCount,stageCount,status,priority,departmentId
Application_652823628,2016-01-01T09:51:15.304000+00:00,2016-01-14T15:49:11.423000+00:00,317.97,0,0,5,pending,Medium,User_1
Application_1691306052,2016-01-01T10:16:11.500000+00:00,2016-01-07T13:29:49.725000+00:00,147.23,0,2,4,rejected,Medium,User_1
Application_428409768,2016-01-01T11:19:38.177000+00:00,2016-01-14T07:00:14.468000+00:00,307.68,1,0,5,pending,Medium,User_1
Application_1746793196,2016-01-01T12:34:53.911000+00:00,2016-01-28T12:18:51.306000+00:00,647.73,1,0,5,pending,Low,User_1
Application_828200680,2016-01-01T13:00:04.360000+00:00,2016-02-02T07:00:20.849000+00:00,762.0,0,0,3,rejected,High,User_1
Application_1085880569,2016-01-01T13:05:19.866000+00:00,2016-02-29T07:00:48.826000+00:00,1409.92,1,0,3,rejected,Medium,User_1
Application_1266995739,2016-01-01T13:22:19.758000+00:00,2016-01-09T15:48:53.179000+00:00,194.44,0,0,5,rejected,Low,User_1
Application_1878239836,2016-01-01T13:35:26.422000+00:00,2016-01-11T09:30:53.009000+00:00,235.92,0,2,4,rejected,Medium,User_1
Application_619403287,2016-01-01T14:13:16.064000+00:00,2016-01-22T08:03:30.902000+00:00,497.84,0,0,5,pending,Medium,User_1
Application_1710223761,2016-01-01T14:23:21.334000+00:00,2016-02-02T07:00:34.765000+00:00,760.62,0,0,3,rejected,Medium,User_1
Application_1529124572,2016-01-01T14:42:36.728000+00:00,2016-01-27T09:25:38.992000+00:00,618.72,0,0,5,pending,Low,User_1
Application_387012864,2016-01-01T16:00:01.353000+00:00,2016-02-02T07:00:36.986000+00:00,759.01,0,0,3,rejected,Low,User_1
Application_1120819670,2016-01-01T16:22:50.533000+00:00,2016-01-11T09:42:07.014000+00:00,233.32,0,0,5,pending,Low,User_1
Application_42838382,2016-01-01T16:58:48.775000+00:00,2016-02-29T07:01:02.445000+00:00,1406.04,2,0,3,rejected,High,User_1
Application_180547487,2016-01-01T17:04:16.739000+00:00,2016-01-12T12:56:49.677000+00:00,259.88,0,0,5,pending,Low,User_1
Application_1966208034,2016-01-01T17:06:50.703000+00:00,2016-02-02T07:00:21.973000+00:00,757.89,0,0,3,rejected,High,User_1
Application_1806387393,2016-01-01T17:58:26.178000+00:00,2016-01-11T13:19:39.094000+00:00,235.35,0,2,4,rejected,Low,User_1
Application_1111870538,2016-01-01T19:13:17.386000+00:00,2016-01-08T09:59:40.750000+00:00,158.77,0,0,3,rejected,Low,User_1
Application_1017492916,2016-01-01T19:18:43.997000+00:00,2016-02-02T07:00:27.802000+00:00,755.7,0,0,3,rejected,Medium,User_1
Application_2082119944,2016-01-01T21:14:25.752000+00:00,2016-01-14T14:38:04.281000+00:00,305.39,0,0,4,pending,Medium,User_1
Application_758985626,2016-01-01T21:24:12.454000+00:00,2016-02-22T10:14:16.998000+00:00,1236.83,0,0,5,pending,Medium,User_1
Application_1018615109,2016-01-01T21:57:30.249000+00:00,2016-01-22T07:55:33.101000+00:00,489.97,1,0,5,pending,Medium,User_1
Application_319587802,2016-01-02T01:08:49.567000+00:00,2016-01-25T10:13:22.181000+00:00,561.08,2,4,4,rejected,Low,User_1
Application_1846626914,2016-01-02T08:57:01.662000+00:00,2016-01-13T12:28:00.522000+00:00,267.52,0,0,5,pending,Low,User_1
Application_546206358,2016-01-02T08:57:03.601000+00:00,2016-01-11T09:39:35.193000+00:00,216.71,0,2,4,rejected,Medium,User_1
Application_196483749,2016-01-02T09:12:07.481000+00:00,2016-02-29T07:01:05.273000+00:00,1389.82,3,0,2,rejected,Medium,User_17
Application_1363980603,2016-01-02T09:24:04.072000+00:00,2016-01-07T13:32:04.381000+00:00,124.13,0,0,3,rejected,Low,User_1
Application_1553362978,2016-01-02T09:27:03.845000+00:00,2016-02-29T07:01:06.460000+00:00,1389.57,2,0,3,rejected,Medium,User_1
Application_1197857445,2016-01-02T09:33:11.203000+00:00,2016-02-27T07:15:59.051000+00:00,1341.71,1,0,3,rejected,Low,User_1
Application_931862671,2016-01-02T10:15:48.153000+00:00,2016-02-01T19:18:40.313000+00:00,729.05,2,0,3,rejected,Low,User_1
Application_2012588584,2016-01-02T10:26:22.572000+00:00,2016-01-27T09:56:56.971000+00:00,599.51,1,0,4,pending,Low,User_17
Application_1825972191,2016-01-02T11:06:39.120000+00:00,2016-02-17T15:49:47.334000+00:00,1108.72,2,0,5,pending,Medium,User_1
Application_1059184025,2016-01-02T11:10:04.322000+00:00,2016-01-08T16:05:47.597000+00:00,148.93,2,0,4,pending,Low,User_38
Application_1395142997,2016-01-02T11:23:37.115000+00:00,2016-01-15T11:58:18.815000+00:00,312.58,0,0,4,pending,Medium,User_1
Application_2015287405,2016-01-02T11:27:01.856000+00:00,2016-02-29T07:01:20.477000+00:00,1387.57,1,0,3,rejected,Medium,User_1
